1,"Government Agencies/Legislatures"
2,"Campaigns/Elections/Politics"
3,"Defense/Military (Domestic)"
4,"Court/Legal System"
5,"Crime"
6,"Domestic Terrorism"
7,"Business"
8,"Economy/Economics"
9,"Environment"
10,"Development/Sprawl"
11,"Transportation"
12,"Education"
13,"Religion"
14,"Health/Medicine"
15,"Science and Technology"
16,"Race/Gender/Gay Issues"
17,"Immigration"
18,"Additional Domestic Affairs"
19,"Disasters/Accidents"
20,"Celebrity/Entertainment"
21,"Lifestyle"
22,"Sports"
23,"Media"
24,"U.S. Miscellaneous"
25,"U.S. Foreign Affairs"
26,"Foreign (non-U.S.)"
